D-loss	G-loss	AUC	AP
1.290461	0.695598	0.148860	0.024522
1.327629	0.694157	0.075699	0.022392
1.359053	0.694658	0.142822	0.024123
1.363266	0.696108	0.058956	0.022052
1.334149	0.698068	0.509444	0.041932
1.360196	0.696843	0.060224	0.022092
1.294875	0.699194	0.622551	0.053605
1.346358	0.699302	0.061287	0.022083
1.285964	0.704508	0.496645	0.040840
1.351222	0.696557	0.108968	0.023333
1.309509	0.694308	0.116996	0.023552
1.320930	0.694109	0.508473	0.041883
1.370474	0.694873	0.085099	0.022653
1.319996	0.696472	0.590551	0.049843
1.360333	0.696825	0.081714	0.022468
1.307326	0.699804	0.645472	0.058509
1.352151	0.700744	0.070204	0.022175
1.267826	0.706569	0.591755	0.050075
1.347945	0.697626	0.086508	0.022550
1.328910	0.699829	0.571112	0.047640
1.359025	0.697458	0.541555	0.044550
1.317336	0.693856	0.128854	0.023710
1.270633	0.700890	0.569812	0.047597
1.399410	0.700593	0.103577	0.022927
1.340751	0.697968	0.138313	0.023724
1.348410	0.694081	0.334316	0.030668
1.371787	0.697255	0.092461	0.022641
1.302813	0.700716	0.584720	0.049062
1.343879	0.700435	0.131260	0.023716
1.314924	0.698441	0.499766	0.040968
1.332582	0.694698	0.123703	0.023515
1.293623	0.695787	0.435371	0.036370
1.343470	0.695778	0.072865	0.022213
1.326508	0.703300	0.551215	0.045492
1.425132	0.708601	0.082908	0.022331
1.342767	0.714592	0.577535	0.048174
1.423679	0.707389	0.090076	0.022681
1.292692	0.699329	0.214920	0.026159
1.326129	0.694106	0.111971	0.023434
1.341359	0.694131	0.235722	0.026626
1.335262	0.694233	0.161818	0.024583
1.325929	0.694465	0.389629	0.033317
1.344428	0.693873	0.116814	0.023527
1.312913	0.694228	0.136453	0.023918
1.334140	0.693916	0.477477	0.039246
1.382077	0.694574	0.041544	0.021882
1.345228	0.698596	0.512617	0.042193
1.370573	0.696711	0.050130	0.021959
1.339336	0.699422	0.448011	0.037197
1.387477	0.699382	0.045857	0.021945
1.333102	0.697234	0.614088	0.053999
1.345023	0.698699	0.047980	0.022006
1.302884	0.704784	0.599972	0.051410
1.417132	0.698280	0.045292	0.021962
1.318338	0.698949	0.580496	0.049175
1.381001	0.696320	0.224759	0.026266
1.307012	0.695598	0.303586	0.029401
1.349382	0.693907	0.569338	0.048059
1.347786	0.695137	0.039899	0.021913
1.328662	0.699227	0.513943	0.042784
1.377257	0.696420	0.048704	0.022014
1.343939	0.694556	0.287563	0.028642
1.438505	0.719187	0.243158	0.026027
1.337037	0.714642	0.251129	0.026254
1.400207	0.707892	0.265581	0.026711
1.375296	0.705199	0.285307	0.027375
1.327814	0.703073	0.300489	0.028238
1.339375	0.700736	0.299485	0.028910
1.363927	0.699614	0.287188	0.028012
1.336595	0.698692	0.273529	0.027034
1.338250	0.697921	0.267727	0.026681
1.347585	0.697341	0.252424	0.026017
1.356327	0.696817	0.253406	0.025992
1.366061	0.696507	0.242579	0.025603
1.371437	0.696408	0.215345	0.024753
1.359486	0.696166	0.196221	0.024243
1.373399	0.695878	0.236767	0.025517
1.393555	0.695806	0.276303	0.027327
1.360436	0.695616	0.284559	0.027813
1.377016	0.695103	0.281249	0.027670
1.385700	0.695096	0.274100	0.027597
1.365110	0.695387	0.297778	0.028392
1.382925	0.695117	0.265444	0.027292
1.362277	0.694822	0.220862	0.025477
1.349476	0.694856	0.213472	0.025268
1.382831	0.694645	0.206219	0.025068
1.380861	0.694554	0.249663	0.026516
1.343431	0.694429	0.555092	0.044903
1.349002	0.694360	0.706219	0.065916
1.352509	0.694464	0.648056	0.055606
1.342248	0.694776	0.526475	0.041130
1.368007	0.694366	0.247830	0.026815
1.377833	0.694262	0.190578	0.024668
1.390047	0.694473	0.258893	0.027676
1.425747	0.694965	0.175824	0.024788
1.367148	0.695411	0.340261	0.030593
1.381054	0.694604	0.292962	0.027699
1.361394	0.694076	0.336010	0.030159
1.350808	0.694154	0.332852	0.030039
1.339457	0.694055	0.171275	0.024201
1.353667	0.694304	0.248304	0.026108
1.374838	0.694264	0.419779	0.034622
1.358567	0.694319	0.216059	0.025013
1.332446	0.694745	0.242740	0.025952
1.344234	0.694033	0.499523	0.040942
1.368650	0.694877	0.543208	0.044556
1.326263	0.693947	0.448504	0.036506
1.328896	0.694404	0.561316	0.045977
1.328343	0.694042	0.330400	0.030472
1.343626	0.694112	0.370888	0.032131
1.344327	0.694221	0.196687	0.024475
1.319484	0.695314	0.279906	0.027999
1.393229	0.694542	0.384006	0.032650
1.335985	0.694147	0.181277	0.024054
1.315163	0.695940	0.373320	0.032053
1.356214	0.695002	0.142676	0.023233
1.344171	0.695393	0.359204	0.031501
1.372147	0.695764	0.391401	0.033106
1.333311	0.694125	0.495411	0.040420
1.304453	0.694288	0.420564	0.034802
1.305099	0.694193	0.312498	0.029822
1.314773	0.694374	0.299718	0.029389
1.402602	0.694770	0.440025	0.036439
1.316885	0.694085	0.344486	0.031349
1.324527	0.696003	0.328810	0.030968
1.393909	0.694980	0.102461	0.022633
1.350200	0.697406	0.275997	0.028112
1.396713	0.697248	0.238066	0.026413
1.341432	0.694869	0.336561	0.030647
1.349377	0.693969	0.480160	0.039100
1.336969	0.694076	0.373511	0.032338
1.443666	0.980590	0.413718	0.033534
1.383176	0.900596	0.449125	0.035358
1.361721	0.842645	0.469825	0.036723
